"";"GTY_Code";"Flag_CTY_Code";"TFN";"GAR_Code";"Calendar_Year";"AFE_ID";"Month";"Target_TXN_Code";"FAC_Code";"VSZ_Code";"Fishing_Hours";"Fishing_Days";"Vessel_Count";"Haul_Count";"Hook_Count";"Pot_Count";"CC_Season";"Split_Year";"Location";"GTY_rev"
"3790";"OTB";"SUN";2;"5851";1978;2095;4;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3791";"OTB";"SUN";2;"5851";1978;2096;3;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3792";"OTB";"SUN";2;"5851";1978;2107;3;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3793";"OTB";"SUN";2;"5851";1978;2106;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3794";"OTB";"SUN";2;"5851";1978;2099;1;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3795";"OTB";"SUN";2;"5851";1978;2105;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3796";"OTB";"SUN";2;"5851";1978;2088;4;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3797";"OTB";"SUN";2;"5851";1978;2104;1;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3798";"OTB";"SUN";2;"5851";1978;2098;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3799";"OTB";"SUN";2;"5851";1978;2084;6;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3800";"OTB";"SUN";2;"5851";1978;2085;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3801";"OTB";"SUN";2;"5851";1978;2086;3;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3802";"OTB";"SUN";2;"5851";1978;2082;2;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3803";"OTB";"SUN";2;"5851";1978;2097;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3804";"OTB";"SUN";2;"5851";1978;2083;1;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1978;1978;"B";"OTB"
"3805";"OTB";"SUN";2;"5852";1972;2108;5;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1972;1972;"B";"OTB"
"3806";"OTB";"SUN";2;"5852";1974;2112;10;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1974;1975;"B";"OTB"
"3807";"OTB";"SUN";2;"5852";1974;2110;7;"ANI";"C";NA;NA;NA;NA;NA;NA;NA;1974;1975;"B";"OTB"
