taxon_code,taxon_scientific_name,taxon_vernacular_name,Taxa_Group_major,Taxa_Group
DIM,Thalassarche melanophris,Black-browed albatross,Bird,Flying Bird
DIP,Diomedea epomophora,Southern royal albatross,Bird,Flying Bird
DIQ,Diomedea sanfordi,Northern royal albatross,Bird,NA
DIX,Diomedea exulans,Wandering albatross,Bird,Flying Bird
DKS,Thalassarche salvini,Salvin's albatross,Bird,NA
DLL,Dolloidraco longedorsalis,Plunderfish spp,Fish,Other
DLP,Delphinidae,Dolphins nei,Marine Mammal,Toothed whale
DMK,Adamussium colbecki,Antarctic scallop,Benthos,Benthos
DMO,Demospongiae,Siliceous sponges,Benthos,Benthos
DQL,Lycenchelys hureaui,,NA,NA
DRR,Grampus griseus,Risso's dolphin,Marine Mammal,Toothed whale
ECH,Echinodermata,Echinoderms,Benthos,Benthos
ECI,Echiodon cryomargarites,Messmate,Fish,Other
EKH,Mesonychoteuthis hamiltoni,Antarctic cranch squid,Cephalopod,NA
ELC,Electrona carlsbergi,Electron subantarctic,Fish,Mesopelagic
ELN,Electrona antarctica,Antarctic lanternfish,Fish,Mesopelagic
ELT,Electrona spp,Lanternfishes,Fish,Mesopelagic
EMT,Emmelichthyidae,"Bonnetmouths, rubyfishes nei",Fish,Other
ERN,Trematomus bernacchii,Emerald rockcod,Fish,Nototheniidae
ETF,Etmopterus lucifer,Blackbelly lanternshark,Chondrichthyes,Shark
ETM,Etmopterus granulosus,Southern lanternshark(Lucifer),Chondrichthyes,Shark
EUA,Eubalaena australis,Southern right whale,Marine Mammal,Baleen
EUC,Eudyptes chrysolophus,Macaroni penguin,Bird,Penguin
EVQ,Eudyptes chrysocome,Rockhopper penguin,Bird,Penguin
EZK,Muraenolepis evseenkoi,,NA,NA
EZT,Etmopterus viator,Blue-eye lanternshark,Chondrichthyes,NA
FGQ,Fregetta tropica,Black-bellied storm petrel,Bird,Flying Bird
FGZ,Fregetta spp,B/W bellied storm petrels nei,Bird,Flying Bird
FIC,Cryodraco antarcticus,Long-fingered icefish,Fish,Channichthyidae
FIW,Balaenoptera physalus,Fin whale,Marine Mammal,Baleen
FLA,Percophis brasiliensis,Brazilian flathead,Fish,Other
FO1,Foraminifera,Foraminiferans,Benthos,NA
FRA,Pontoporia blainvillei,Franciscana,Marine Mammal,Toothed whale
FUG,Fulmarus glacialoides,Southern fulmar,Bird,Flying Bird
GAS,Gastropoda,Gastropods nei,Benthos,Benthos
GDR,Gymnodraco acuticeps,Ploughfish,Fish,Bathydraconidae
GEA,Gerlachea australis,Dragonfish spp.,Fish,Bathydraconidae
GEP,Gempylidae,"Snake mackerels, escolars nei",Fish,Other
GGW,Gorgoniidae,Gorgonians,Benthos,Benthos
GHP,Patagonotothen guntheri,Yellowfin notothen,Fish,Nototheniidae
GIS,Dosidicus gigas,Jumbo flying squid,Cephalopod,Cephalopod
GLO,Globicephala spp,Pilot whales nei,Marine Mammal,Toothed whale
GR1,Macrourus caml/whitsoni,Caml & whitsoni grenadier (HIMI),Fish,Macrouridae
GR2,Macrourus carinatus/holotrachys,Carinatus & holotrachys grenadier (HIMI),Fish,Macrouridae
GRA,Parapristipoma octolineatum,African striped grunt,Fish,Other
GRM,Macruronus magellanicus,Patagonian grenadier,Fish,Macrouridae
GRN,Macruronus novaezelandiae,Blue grenadier,Fish,Macrouridae
GRV,Macrourus spp,Grenadiers nei,Fish,Macrouridae
GRW,Eschrichtius robustus,Gray whale,Marine Mammal,Baleen
GSK,Somniosus microcephalus,Greenland shark,Chondrichthyes,Shark
GSX,Gonostoma spp,,Benthos,NA
GTO,Pagothenia borchgrevinki,Bald notothen,Fish,Nototheniidae
GYB,Gymnoscopelus bolini,Lanternfish,Fish,Mesopelagic
GYF,Gymnoscopelus fraseri,Lanternfish,Fish,Mesopelagic
GYJ,Gymnoscopelus hintonoides,,Fish,Mesopelagic
GYN,Gymnoscopelus nicholsi,Nichol's lanternfish,Fish,Mesopelagic
GYO,Gymnoscopelus opisthopterus,Lanternfish,Fish,Mesopelagic
GYR,Gymnoscopelus braueri,Lanternfish,Fish,Mesopelagic
GYY,Gymnoscopelus spp,Lanternfish,Fish,Mesopelagic
HAN,Bythaelurus canescens,Dusky catshark,Chondrichthyes,Shark
HBE,Halobaena caerulea,Blue petrel,Bird,Flying Bird
HBG,Harpagifer georgianus,S. Georgia spiny plunderfish,Fish,Other
HEP,Clupea pallasii,Pacific herring,Fish,Mesopelagic
HER,Clupea harengus,Atlantic herring,Fish,NA
HGW,Harpagifer antarcticus,Antarctic spiny plunderfish,Fish,Other
HHJ,Achiropsetta tricholepis,Prickly flounder,Fish,Other
HIB,Histiobranchus bathybius,Deep-water arrowtooth eel,Fish,Other
HIV,Histiodraco velifer,,Fish,Other
HKN,Merluccius australis,Southern hake,Fish,Other
HKP,Merluccius hubbsi,Argentine hake,Fish,Other
HOL,Chimaeriformes,"Chimaeras, etc. nei",Fish,Other
HQZ,Hydrozoa,Hydrozoans,Benthos,Benthos
HRD,Lagenorhynchus cruciger,Hourglass dolphin,Marine Mammal,Toothed whale
HUW,Megaptera novaeangliae,Humpback whale,Marine Mammal,Baleen
HXY,Hexactinellida,Glass sponges,Benthos,Benthos
HYD,Hydrolagus spp,Ratfishes nei,Chondrichthyes,Shark
ICA,Icichthys australis,Southern driftfish,Fish,Other
ICK,Cryodraco atkinsoni,,Fish,Channichthyidae
ICX,Channichthyidae,Crocodile icefishes nei,Fish,Channichthyidae
INV,Invertebrata,Aquatic invertebrates nei,Benthos,Benthos
ISH,Isopoda,"Isopods, pillbugs, sowbugs",Benthos,Benthos
ISQ,Phalacrocorax atriceps,Imperial shag,Bird,Flying Bird
JAX,Trachurus spp,Jack and horse mackerels nei,Fish,Other
JIC,Neopagetopsis ionah,Jonah's icefish,Fish,Channichthyidae
KCF,Paralomis formosa,Globose king crab,Crustacea,Crab
KCM,Lithodes murrayi,Subantarctic stone crab,Crustacea,Crab
KCS,Paralithodes spp,King crabs,Crustacea,Crab
KCU,Paralomis aculeata,Red stone crab,Crustacea,Crab
KCV,Paralomis spinosissima,Antarctic stone crab,Crustacea,Crab
KCX,Lithodidae,"King crabs, stone crabs nei",Crustacea,Crab
KCZ,Lithodes spp,King crabs nei,Crustacea,Crab
KDD,Paralomis anamerae,,Crustacea,Crab
KFY,Aptenodytes forsteri,Emperor penguin,Bird,Penguin
KIF,Chionodraco rastrospinosus,Ocellated icefish,Fish,Channichthyidae
KIW,Orcinus orca,Killer whale,Marine Mammal,Toothed whale
KPY,Aptenodytes patagonicus,King penguin,Bird,Penguin
KRA,Krefftichthys anderssoni,Lanternfish spp.,Fish,Mesopelagic
KRC,Euphausia crystallorophias,Ice krill,Zooplankton,Krill
KRI,Euphausia superba,Antarctic krill,Zooplankton,Krill
KRM,Thysanoessa macrura,Bigeye krill,Crustacea,NA
KRT,Euphausia triacantha,Spiny krill,Zooplankton,Krill
KRV,Euphausia vallentini,Northern krill,Zooplankton,Krill
KRX,Euphausia spp,Antarctic krill nei,Zooplankton,Krill
KZU,Labidiaster annulatus,,NA,NA
LAC,Nannobrachium achirus,Lantern fish,Fish,Mesopelagic
LAG,Lampris guttatus,Opah,Fish,Other
LAI,Lampris immaculatus,Southern opah,Fish,Other
LCN,Lycodichthys antarcticus,Eelpout,Fish,Other
LDO,Larus dominicanus,Kelp gull,Bird,Flying Bird
LEF,Bothidae,Lefteye flounders nei,Fish,Other
LEV,Lepidion spp,Lepidion codlings nei,Fish,Other
LIC,Channichthys rhinoceratus,Unicorn icefish,Fish,Channichthyidae
LPE,Lepidion ensiferus,Patagonian codling,Fish,Other
